,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Collaborative Teachers - Percent Positive,Collaborative Teachers Rating,Economic Need Index,Effective School Leadership - Percent Positive,Effective School Leadership Rating,Enrollment,Percent Asian,Percent Black,Percent English Language Learners,Percent HRA Eligible,Percent Hispanic,Percent Self-Contained,Percent Students with Disabilities,Percent White,Percent in Temp Housing,Percent in Temp Housing - 4yr,Percent of Students Chronically Absent,Percent of teachers with 3 or more years of experience,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How effective is the teaching and learning?,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How well do teachers work with each other?,Quality Review - How well does the school assess what students are learning?,Rigorous Instruction - Percent Positive,Rigorous Instruction Rating,Strong Family-Community Ties - Percent Positive,Strong Family-Community Ties Rating,Student Achievement Rating,Student Attendance Rate,Supportive Environment - Percent Positive,Supportive Environment Rating,Teacher Attendance Rate,Trust - Percent Positive,Trust Rating,Years of principal experience at this school
139,2.12,2.07,84.0,3,87.5,86.0,3,421,0.7,26.6,27.1,72.4,70.8,5.0,27.8,1.0,23.3,23.3,63.9,96.3,3,2,2,3,3,91.0,2,74.0,3,3,75.3,79.0,2,95.4,89.0,3,5.2
894,2.25,1.96,0.0,3,0.87,0.9,4,128,0.016,0.5,0.234,0.648,0.469,0.094,0.32,0.008,0.289,0.289,0.628,0.813,3,2,2,3,3,0.65,2,0.79,2,2,0.752,0.58,2,0.945,0.86,3,1.0
997,2.49,2.15,0.0,4,0.784,0.9,3,427,0.047,0.37,0.112,0.609,0.536,0.012,0.227,0.021,0.171,0.171,0.35700000000000004,0.778,4,3,4,4,3,0.68,3,0.87,3,3,0.877,0.61,3,0.976,0.88,3,4.9
224,2.45,2.25,91.0,4,64.6,90.0,3,494,2.4,54.7,3.6,47.6,40.3,0.8,17.6,2.0,5.7,5.7,30.0,61.1,4,3,3,4,3,82.0,3,76.0,3,3,89.9,93.0,0,95.7,95.0,3,4.9
410,2.46,2.25,0.0,4,0.735,0.85,3,402,0.04,0.239,0.085,0.5670000000000001,0.679,0.037000000000000005,0.194,0.022,0.102,0.102,0.443,0.926,3,3,3,4,3,0.83,3,0.81,3,3,0.835,0.73,3,0.975,0.87,3,3.8
274,2.22,2.09,88.0,3,60.1,93.0,4,309,2.9,79.0,10.7,43.4,12.3,3.9,20.1,4.2,9.1,9.1,51.5,65.2,3,2,2,3,3,85.0,2,80.0,3,3,83.6,80.0,3,0.0,91.0,3,2.0
298,2.73,2.71,89.0,2,53.5,85.0,3,3968,26.6,22.6,7.2,41.1,21.7,5.7,16.9,26.7,3.3,3.3,19.6,91.6,2,2,3,3,3,84.0,2,70.0,2,3,91.5,84.0,3,96.0,92.0,3,3.3
413,2.4,2.15,0.0,4,0.7979999999999999,0.92,4,409,0.02,0.279,0.181,0.633,0.66,0.002,0.242,0.027000000000000003,0.13699999999999998,0.13699999999999998,0.473,0.5760000000000001,4,3,4,4,3,0.84,3,0.86,3,3,0.818,0.82,3,0.966,0.94,4,4.9
599,2.18,1.86,0.0,0,0.818,0.78,0,125,0.008,0.4320000000000001,0.192,0.568,0.512,0.14400000000000002,0.328,0.032,0.28800000000000003,0.28800000000000003,0.725,0.7859999999999999,2,2,2,2,2,0.73,0,0.88,0,0,0.6859999999999999,0.63,0,0.962,0.82,0,1.0
390,2.83,2.66,81.0,3,24.8,71.0,2,3982,5.1,1.8,0.9,16.6,11.8,4.6,16.3,79.9,3.1,3.1,27.3,85.7,3,3,3,4,3,79.0,2,67.0,2,3,91.2,80.0,3,96.5,82.0,2,1.0
