,ID,School Name_x,Total Grads % of cohort,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Collaborative Teachers - Percent Positive,Collaborative Teachers Rating,Economic Need Index,Effective School Leadership - Percent Positive,Effective School Leadership Rating,Enrollment,Percent Asian,Percent Black,Percent English Language Learners,Percent HRA Eligible,Percent Hispanic,Percent Self-Contained,Percent Students with Disabilities,Percent White,Percent in Temp Housing,Percent in Temp Housing - 4yr,Percent of Students Chronically Absent,Percent of teachers with 3 or more years of experience,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How effective is the teaching and learning?,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How well do teachers work with each other?,Quality Review - How well does the school assess what students are learning?,Rigorous Instruction - Percent Positive,Rigorous Instruction Rating,Strong Family-Community Ties - Percent Positive,Strong Family-Community Ties Rating,Student Achievement Rating,Student Attendance Rate,Supportive Environment - Percent Positive,Supportive Environment Rating,Teacher Attendance Rate,Trust - Percent Positive,Trust Rating,Years of principal experience at this school
833,01M292_2017,ORCHARD COLLEGIATE ACADEMY,66.7,2.47,2.12,,4,0.8320000000000001,0.92,3,140,0.15,0.243,0.14300000000000002,0.621,0.55,0.036000000000000004,0.271,0.05,0.2,0.2,0.44799999999999995,0.5,3,3,3,3,3,0.81,3,0.82,2,3,0.867,0.8,3,0.973,0.94,4,1.9
834,01M448_2017,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,89.7,2.85,2.66,,3,0.757,0.89,3,392,0.301,0.245,0.08900000000000001,0.5379999999999999,0.42100000000000004,0.003,0.14800000000000002,0.027999999999999997,0.17300000000000001,0.17300000000000001,0.244,0.429,4,3,4,3,3,0.82,3,0.86,3,4,0.925,0.76,4,0.971,0.92,4,7.5
835,01M450_2017,EAST SIDE COMMUNITY SCHOOL,89.9,3.06,2.93,,4,0.586,0.95,4,393,0.122,0.201,0.01,0.405,0.547,0.0,0.244,0.10400000000000001,0.055999999999999994,0.055999999999999994,0.16399999999999998,0.78,4,3,4,4,4,0.9,4,0.93,4,3,0.94,0.84,4,0.99,0.94,4,15.8
836,01M509_2017,MARTA VALLE HIGH SCHOOL,66.1,2.63,2.21,,2,0.767,0.65,2,204,0.028999999999999998,0.363,0.08800000000000001,0.618,0.583,0.025,0.294,0.02,0.142,0.142,0.631,0.647,3,2,2,2,2,0.61,1,0.79,2,2,0.79,0.65,2,0.946,0.75,1,2.0
837,01M539_2017,NEW EXPLORATIONS INTO SCIENCE TECHNOLOGY AND MATH,92.9,3.73,3.8,,2,0.359,0.74,3,614,0.345,0.124,0.005,0.18100000000000002,0.174,0.0,0.099,0.319,0.034,0.034,0.102,0.638,4,3,4,3,3,0.81,3,0.91,3,4,0.953,0.72,3,0.972,0.81,2,2.0
838,01M696_2017,BARD HIGH SCHOOL EARLY COLLEGE,94.7,3.93,4.02,,4,0.38299999999999995,0.91,4,548,0.254,0.161,0.0,0.23399999999999999,0.179,0.0,0.028999999999999998,0.391,0.044000000000000004,0.044000000000000004,0.13,0.8390000000000001,4,3,4,4,3,0.89,4,0.86,3,4,0.945,0.82,3,0.98,0.9,3,6.8
839,02M047_2017,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,91.4,2.83,2.37,,3,0.732,0.84,3,179,0.017,0.302,0.05,0.581,0.62,0.045,0.257,0.045,0.12300000000000001,0.12300000000000001,0.44299999999999995,0.6,4,3,4,4,3,0.65,3,0.8,0,3,0.861,0.68,3,0.978,0.84,0,9.0
840,02M135_2017,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,67.0,2.71,2.36,,2,0.7120000000000001,0.76,3,315,0.057,0.27,0.067,0.524,0.61,0.003,0.19,0.048,0.149,0.149,0.511,0.792,3,3,4,3,3,0.78,3,0.84,3,3,0.83,0.68,2,0.9690000000000001,0.84,3,4.0
841,02M139_2017,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIG,82.7,2.62,2.35,,4,0.7070000000000001,0.94,4,378,0.026000000000000002,0.259,0.069,0.529,0.619,0.008,0.272,0.077,0.122,0.122,0.45299999999999996,0.33299999999999996,4,3,3,4,3,0.71,3,0.87,3,3,0.865,0.69,3,0.982,0.91,3,4.0
842,02M282_2017,URBAN ASSEMBLY MAKER ACADEMY,,2.96,2.72,,3,0.615,0.96,3,290,0.11699999999999999,0.262,0.034,0.441,0.466,0.003,0.134,0.1,0.114,0.114,0.332,0.429,3,2,3,3,3,0.79,3,0.91,4,0,0.89,0.72,2,0.9840000000000001,0.95,4,3.0
843,02M288_2017,FOOD AND FINANCE HIGH SCHOOL,88.4,2.75,2.46,,3,0.6859999999999999,0.8,2,400,0.05,0.38799999999999996,0.053,0.518,0.52,0.0,0.185,0.018000000000000002,0.12,0.12,0.324,0.75,3,3,3,2,2,0.79,3,0.75,1,3,0.8959999999999999,0.62,2,0.943,0.84,2,13.0
844,02M294_2017,ESSEX STREET ACADEMY,82.5,2.81,2.35,,4,0.655,0.97,4,352,0.051,0.395,0.043,0.48,0.426,0.0,0.29,0.065,0.085,0.085,0.342,0.885,4,3,4,4,4,0.86,4,0.88,3,3,0.872,0.82,4,0.9690000000000001,0.95,4,1.6
845,02M296_2017,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58.8,2.55,2.19,,4,0.758,0.83,3,398,0.03,0.27399999999999997,0.085,0.598,0.643,0.023,0.214,0.027999999999999997,0.11599999999999999,0.11599999999999999,0.512,0.889,3,3,3,4,3,0.79,3,0.87,0,2,0.8170000000000001,0.7,2,0.97,0.86,0,4.8
846,02M298_2017,PACE HIGH SCHOOL,79.3,2.95,2.6,,3,0.6609999999999999,0.83,3,508,0.085,0.321,0.024,0.49,0.524,0.0,0.193,0.026000000000000002,0.079,0.079,0.387,0.75,4,3,4,4,3,0.76,3,0.8,2,2,0.871,0.69,3,0.971,0.88,3,1.7
847,02M300_2017,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION T,57.6,2.56,2.35,,3,0.706,0.78,2,391,0.033,0.256,0.11,0.512,0.665,0.01,0.235,0.027999999999999997,0.159,0.159,0.494,0.593,3,3,3,3,3,0.75,3,0.83,2,2,0.825,0.69,2,0.966,0.89,3,8.9
848,02M303_2017,FACING HISTORY SCHOOL THE,66.3,2.53,2.19,,4,0.79,0.95,4,431,0.016,0.255,0.165,0.613,0.6940000000000001,0.0,0.23199999999999998,0.016,0.155,0.155,0.53,0.5760000000000001,4,3,4,4,3,0.84,3,0.87,3,3,0.818,0.78,3,0.9640000000000001,0.96,4,5.9
849,02M305_2017,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW THE,77.6,2.69,2.3,,4,0.765,0.94,4,316,0.054000000000000006,0.364,0.051,0.5820000000000001,0.547,0.006,0.23399999999999999,0.032,0.193,0.193,0.517,0.40700000000000003,4,3,3,3,3,0.78,3,0.79,2,3,0.8420000000000001,0.67,3,0.977,0.89,3,3.0
850,02M308_2017,LOWER MANHATTAN ARTS ACADEMY,76.6,2.66,2.3,,3,0.679,0.85,3,354,0.08800000000000001,0.27399999999999997,0.045,0.47200000000000003,0.5539999999999999,0.025,0.34700000000000003,0.031,0.13,0.13,0.314,0.769,4,3,3,3,3,0.81,3,0.73,1,3,0.8759999999999999,0.67,3,0.972,0.78,2,12.0
851,02M316_2017,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,71.2,2.72,2.27,,3,0.708,0.87,3,275,0.022000000000000002,0.5710000000000001,0.033,0.524,0.335,0.0,0.142,0.015,0.109,0.109,0.511,0.591,3,2,3,2,2,0.69,2,0.79,2,2,0.833,0.61,2,0.951,0.88,3,12.0
852,02M374_2017,GRAMERCY ARTS HIGH SCHOOL,77.3,2.94,2.48,,2,0.642,0.64,2,534,0.032,0.408,0.013000000000000001,0.457,0.42700000000000005,0.0,0.152,0.069,0.08800000000000001,0.08800000000000001,0.441,0.667,3,2,3,3,3,0.64,2,0.8,2,2,0.8420000000000001,0.56,2,0.961,0.78,2,3.0
853,02M376_2017,NYC ISCHOOL,98.1,3.52,3.25,,4,0.379,0.93,4,449,0.078,0.185,0.004,0.223,0.29,0.002,0.136,0.37,0.049,0.049,0.196,0.774,4,3,4,4,4,0.87,4,0.89,4,4,0.929,0.84,3,0.9790000000000001,0.94,4,4.8
854,02M392_2017,MANHATTAN BUSINESS ACADEMY,84.6,2.78,2.41,,4,0.695,0.9,3,432,0.032,0.255,0.069,0.537,0.6459999999999999,0.0,0.201,0.042,0.09300000000000001,0.09300000000000001,0.436,0.5670000000000001,4,4,4,4,4,0.8,4,0.82,3,3,0.865,0.72,3,0.982,0.87,3,8.0
855,02M393_2017,BUSINESS OF SPORTS SCHOOL,78.1,2.53,2.25,,2,0.732,0.81,3,449,0.02,0.312,0.085,0.579,0.633,0.002,0.249,0.02,0.131,0.131,0.53,0.818,3,3,4,3,4,0.75,4,0.86,3,2,0.8440000000000001,0.72,2,0.966,0.86,3,8.0
