DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How well do teachers work with each other?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing - 4yr,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
30Q301,Academy for Careers in Television and Film,High School,515,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,91%,98%,89%,97%,81%,95%,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,"May 6-7, 2014",2.64,2.41,2.30%,18.30%,0.40%,44.40%,1.60%,31.30%,5.80%,15.90%,54.20%,20.80%,2.4,54.50%,94.10%,16.80%,98.60%
30Q445,William Cullen Bryant High School,High School,2496,Approaching Target,Approaching Target,Meeting Target,Not Meeting Target,N/A,N/A,Meeting Target,79%,71%,76%,60%,63%,72%,Proficient,Developing,Developing,Proficient,Proficient,16-Apr-15,2.42,2.43,14.90%,13.20%,6.20%,55.80%,4.80%,41.60%,28.40%,5.60%,48.70%,16.10%,3.8,68.70%,88.00%,32.40%,95.90%
30Q450,Long Island City High School,High School,2123,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Not Meeting Target,Meeting Target,Approaching Target,87%,87%,82%,79%,65%,87%,Proficient,Proficient,Proficient,Well Developed,Well Developed,21-Apr-15,2.36,2.33,11.90%,17.60%,1.60%,62.70%,5.20%,49.10%,15.70%,13.50%,60.20%,9.00%,3,93.80%,80.20%,50.50%,95.40%
30Q501,Frank Sinatra School of the Arts High School,High School,808,Meeting Target,Exceeding Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,84%,87%,88%,79%,75%,90%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,15-Apr-15,3.32,3.02,0.40%,7.30%,0.00%,29.40%,1.20%,17.00%,10.50%,13.60%,33.40%,38.70%,10.8,84.80%,94.90%,10.40%,96.30%
30Q502,Information Technology High School,High School,970,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,85%,84%,81%,79%,72%,87%,Proficient,Developing,Developing,Proficient,Proficient,28-Oct-14,2.42,2.43,8.70%,18.00%,5.30%,59.30%,7.20%,45.10%,18.20%,14.90%,56.30%,9.40%,3.3,89.10%,89.90%,30.50%,96.10%
30Q555,Newcomers High School,High School,993,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,88%,87%,85%,76%,74%,89%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,29-May-15,1.79,2.26,76.80%,1.00%,0.00%,60.10%,25.40%,30.10%,36.70%,2.40%,54.60%,6.20%,5.8,85.20%,90.80%,24.70%,96.20%
30Q575,Academy of American Studies,High School,874,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,83%,87%,88%,72%,69%,87%,Well Developed,Proficient,Proficient,Well Developed,Proficient,"March 17-18, 2014",2.97,2.91,3.10%,8.90%,0.30%,44.20%,1.30%,31.40%,29.30%,7.30%,34.30%,28.30%,3.8,90.50%,94.10%,14.80%,95.30%
30Q580,Baccalaureate School for Global Education,High School,478,Meeting Target,Approaching Target,Exceeding Target,Approaching Target,Not Meeting Target,Meeting Target,Exceeding Target,88%,81%,90%,74%,70%,89%,Proficient,Developing,Proficient,Well Developed,Developing,"January 23-24, 2014",3.72,3.54,0.00%,0.90%,0.00%,27.60%,0.30%,18.00%,39.60%,2.50%,21.20%,34.50%,8.4,93.10%,96.60%,5.10%,96.70%
31R047,CSI High School for International Studies,High School,520,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,87%,92%,88%,90%,78%,92%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,21-Apr-15,2.88,2.72,0.40%,16.70%,0.00%,27.60%,1.00%,17.30%,11.20%,8.80%,19.80%,55.60%,4.8,83.90%,94.80%,12.20%,97.60%
31R064,Gaynor McCown Expeditionary Learning School,High School,479,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,89%,84%,82%,82%,71%,88%,Developing,Proficient,Proficient,Proficient,Proficient,"February 25-26, 2014",2.67,2.46,0.20%,23.40%,0.40%,31.80%,1.70%,20.50%,3.30%,13.80%,19.00%,61.60%,6,79.40%,91.10%,25.70%,97.80%
31R080,The Michael J. Petrides School,High School,1327,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,93%,92%,87%,90%,80%,92%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"May 7-8, 2013",2.69,2.62,1.10%,21.40%,3.20%,36.60%,0.40%,23.50%,6.90%,22.30%,20.20%,49.80%,11.3,79.20%,90.20%,29.60%,97.80%
31R440,New Dorp High School,High School,2791,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,86%,92%,82%,89%,70%,92%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,28-Apr-15,2.52,2.32,4.20%,19.90%,6.30%,45.80%,7.30%,34.50%,7.50%,12.10%,27.80%,51.80%,16.1,77.60%,89.00%,23.80%,96.70%
31R445,Port Richmond High School,High School,1628,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,89%,89%,80%,85%,75%,91%,Proficient,Proficient,Proficient,Proficient,Proficient,"December 18-20, 2013",2.34,2.18,5.70%,26.60%,11.20%,59.40%,6.30%,45.90%,7.00%,27.90%,42.80%,21.70%,10.4,91.20%,87.50%,34.10%,96.10%
31R450,Curtis High School,High School,2499,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,Meeting Target,76%,82%,78%,74%,66%,84%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"November 19-21, 2013",2.45,2.26,6.10%,19.00%,4.00%,61.60%,10.80%,45.30%,7.10%,38.40%,36.00%,17.70%,11.8,87.70%,86.40%,36.00%,96.60%
31R455,Tottenville High School,High School,3982,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,79%,81%,80%,71%,67%,82%,Proficient,Proficient,Proficient,Well Developed,Proficient,21-Apr-15,2.83,2.66,0.90%,16.30%,4.60%,24.80%,3.10%,16.60%,5.10%,1.80%,11.80%,79.90%,1,85.70%,91.20%,27.30%,96.50%
31R460,Susan E. Wagner High School,High School,3363,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,87%,86%,82%,79%,66%,88%,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,21-May-15,2.75,2.58,2.00%,20.20%,8.90%,39.70%,4.10%,28.30%,13.40%,10.90%,27.00%,47.70%,12.9,86.00%,90.90%,28.20%,96.40%
31R600,Ralph R. McKee Career and Technical Education High,High School,624,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,Meeting Target,82%,79%,78%,79%,65%,84%,Proficient,Developing,Developing,Well Developed,Proficient,12-May-15,2.36,2.21,2.40%,26.40%,6.90%,60.40%,6.70%,45.70%,4.80%,30.80%,42.50%,19.70%,8,90.00%,87.30%,36.00%,96.60%
31R605,Staten Island Technical High School,High School,1247,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,Exceeding Target,Exceeding Target,91%,94%,95%,92%,68%,96%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,22-Jan-15,3.85,3.94,0.00%,1.30%,0.00%,25.00%,2.90%,12.70%,41.10%,1.00%,5.20%,52.20%,1.8,79.70%,96.50%,6.20%,96.10%
32K168,The Brooklyn School for Math and Research,High School,247,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,87%,90%,81%,87%,84%,92%,Well Developed,Proficient,Well Developed,Well Developed,Proficient,"October 22-23, 2013",2.33,2.35,10.10%,17.80%,0.40%,70.90%,10.50%,56.30%,2.40%,53.80%,38.10%,4.50%,4,27.80%,87.50%,38.70%,97.60%
32K403,Academy for Environmental Leadership,High School,340,Meeting Target,Meeting Target,Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,Meeting Target,78%,77%,82%,66%,73%,84%,Proficient,Proficient,Proficient,Well Developed,Well Developed,18-Mar-15,2.07,2.01,32.40%,25.60%,7.60%,78.60%,12.60%,62.60%,1.80%,19.40%,77.10%,1.50%,0.4,60.70%,81.50%,53.90%,97.40%
32K545,EBC High School for Public Service - Bushwick,High School,514,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,80%,77%,83%,78%,74%,86%,Developing,Developing,Developing,Proficient,Proficient,5-May-15,2.13,2.1,20.00%,20.00%,0.20%,80.70%,7.80%,68.70%,0.40%,8.00%,90.70%,0.20%,3.8,80.60%,84.70%,41.80%,93.40%
32K549,Bushwick School for Social Justice,High School,405,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,87%,92%,83%,90%,81%,93%,Proficient,Proficient,Developing,Proficient,Proficient,"December 5-6, 2013",2.16,2.03,21.50%,19.50%,0.70%,76.80%,13.10%,59.30%,0.50%,20.50%,76.00%,2.50%,1,77.40%,79.90%,49.80%,95.60%
32K552,Academy of Urban Planning,High School,279,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,86%,93%,81%,86%,78%,91%,Proficient,Proficient,Proficient,Proficient,Well Developed,21-Apr-15,2.04,1.94,29.00%,28.70%,4.30%,80.80%,15.40%,64.90%,0.70%,23.30%,73.80%,0.70%,2.4,68.00%,82.10%,53.90%,96.80%
32K554,All City Leadership Secondary School,High School,358,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,92%,99%,96%,92%,83%,98%,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,21-Apr-15,2.98,2.59,3.40%,10.70%,0.00%,66.70%,1.70%,51.70%,6.20%,14.60%,77.00%,1.70%,12,93.30%,93.90%,15.60%,97.30%
32K556,Bushwick Leaders High School for Academic Excellen,High School,317,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,83%,83%,83%,81%,82%,89%,Proficient,Proficient,Proficient,Proficient,Well Developed,28-Apr-15,2.08,2,19.60%,24.00%,0.60%,82.20%,17.70%,66.90%,0.90%,16.70%,81.40%,0.30%,11.4,53.80%,82.40%,59.00%,97.30%
84K355,Williamsburg Collegiate Charter School,High School,521,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,N/A,91%,97%,87%,93%,85%,95%,N/A,N/A,N/A,N/A,N/A,,2.94,3.52,2.00%,4.60%,0.00%,71.30%,1.50%,42.10%,0.50%,44.20%,53.30%,2.00%,,,95.00%,8.80%,
84K356,Achievement First Crown Heights Charter School,High School,979,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,N/A,84%,84%,81%,77%,85%,85%,N/A,N/A,N/A,N/A,N/A,,2.64,2.98,0.00%,18.90%,1.20%,57.00%,1.80%,29.30%,0.00%,92.70%,7.30%,0.00%,,,98.00%,2.30%,
84K357,KIPP AMP Charter School,High School,841,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,N/A,84%,82%,81%,77%,83%,90%,N/A,N/A,N/A,N/A,N/A,,2.63,2.87,0.00%,8.60%,0.00%,71.90%,3.20%,46.00%,0.00%,56.10%,42.10%,0.40%,,,94.40%,16.40%,
84K358,Achievement First East New York Charter School,High School,835,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,N/A,91%,91%,86%,84%,89%,89%,N/A,N/A,N/A,N/A,N/A,,2.78,2.96,1.30%,12.00%,1.30%,69.30%,4.00%,42.70%,0.00%,82.70%,13.30%,0.00%,,,97.30%,2.80%,
84K359,The Uft Charter School,High School,957,N/A,N/A,Approaching Target,N/A,N/A,N/A,Meeting Target,85%,78%,75%,70%,85%,78%,N/A,N/A,N/A,N/A,N/A,,2.21,2.08,0.70%,7.70%,0.00%,75.30%,8.10%,57.50%,1.40%,79.60%,18.20%,0.00%,,,88.00%,36.70%,
84K473,Williamsburg Charter High School,High School,968,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,80%,85%,81%,84%,77%,91%,N/A,N/A,N/A,N/A,N/A,,2.33,2.24,5.50%,15.70%,4.00%,73.50%,7.20%,57.40%,0.30%,31.50%,65.70%,1.40%,,,89.30%,29.10%,
84K508,Achievement First Endeavor Charter School,High School,974,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,N/A,94%,93%,84%,90%,88%,92%,N/A,N/A,N/A,N/A,N/A,,2.63,3.14,0.00%,12.70%,0.60%,69.20%,2.50%,46.80%,0.00%,89.90%,10.10%,0.00%,,,97.70%,2.60%,
84K538,Achievement First Bushwick Charter School,High School,1027,Exceeding Target,Exceeding Target,N/A,Meeting Target,Exceeding Target,Exceeding Target,N/A,93%,93%,90%,88%,89%,94%,N/A,N/A,N/A,N/A,N/A,,2.78,3.39,2.10%,10.40%,0.00%,71.80%,2.10%,43.50%,1.00%,64.20%,34.20%,0.00%,,,97.50%,3.20%,
84K593,Excellence Boys Charter School,High School,724,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,N/A,89%,88%,77%,84%,86%,85%,N/A,N/A,N/A,N/A,N/A,,2.6,2.9,0.00%,16.70%,0.00%,65.20%,0.00%,27.80%,0.00%,97.20%,0.00%,0.00%,,,93.90%,15.60%,
84K608,Kings Collegiate Charter School,High School,485,Approaching Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,N/A,84%,89%,86%,89%,85%,94%,N/A,N/A,N/A,N/A,N/A,,2.82,3.04,0.00%,9.20%,0.00%,47.70%,1.70%,30.60%,0.00%,99.40%,0.00%,0.00%,,,96.50%,4.10%,
84K648,Bedford Stuyvesant Collegiate -Uncommon Collegiate,High School,404,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,N/A,93%,97%,88%,91%,89%,93%,N/A,N/A,N/A,N/A,N/A,,2.8,3.07,0.00%,6.90%,0.00%,69.00%,3.90%,44.10%,0.00%,93.10%,6.90%,0.00%,,,96.20%,8.40%,
84K693,Northside Charter High School,High School,380,Approaching Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,80%,89%,83%,81%,66%,91%,N/A,N/A,N/A,N/A,N/A,,2.4,2.27,6.60%,17.60%,2.10%,65.20%,3.70%,47.60%,1.80%,26.80%,62.60%,6.30%,,,95.10%,10.60%,
84K707,Brooklyn Prospect Charter School,High School,771,Approaching Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,N/A,85%,91%,87%,92%,86%,94%,N/A,N/A,N/A,N/A,N/A,,2.79,2.59,2.80%,19.30%,0.00%,35.40%,1.60%,22.20%,4.10%,22.80%,38.90%,29.40%,,,94.80%,11.10%,
84K710,Brownsville Collegiate Charter School,High School,402,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,N/A,88%,88%,83%,85%,85%,91%,N/A,N/A,N/A,N/A,N/A,,2.82,3.18,0.00%,6.80%,0.00%,71.90%,0.00%,45.50%,1.10%,87.50%,11.40%,0.00%,,,97.40%,6.10%,
84K730,Summit Academy Charter School,High School,331,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,N/A,87%,85%,83%,86%,88%,90%,N/A,N/A,N/A,N/A,N/A,,2.29,2.4,2.30%,16.40%,2.80%,75.30%,6.80%,52.00%,0.00%,53.10%,38.40%,4.00%,,,88.50%,37.30%,
84K733,"Math, Engineering, and Science Academy Charter Hig",High School,244,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90%,96%,91%,91%,79%,95%,N/A,N/A,N/A,N/A,N/A,,2.24,2.23,13.90%,17.60%,0.40%,78.10%,5.70%,62.30%,1.20%,17.20%,74.60%,2.50%,,,96.00%,7.40%,
84K738,New Visions Charter High School for Advanced Math,High School,247,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76%,91%,81%,88%,75%,91%,N/A,N/A,N/A,N/A,N/A,,2.43,2.34,4.50%,13.40%,1.60%,56.90%,5.30%,43.70%,3.60%,80.60%,8.50%,1.60%,,,95.20%,15.20%,
84K739,New Visions Charter High School for the Humanities,High School,243,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72%,66%,71%,56%,80%,78%,N/A,N/A,N/A,N/A,N/A,,2.33,2.15,2.10%,18.50%,2.90%,57.60%,8.20%,41.60%,1.60%,82.30%,9.10%,1.20%,,,91.90%,25.80%,
84K744,Coney Island Preparatory Public Charter School,High School,656,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,N/A,86%,89%,82%,85%,84%,92%,N/A,N/A,N/A,N/A,N/A,,2.77,2.87,1.70%,13.90%,0.00%,70.70%,5.20%,52.00%,10.40%,40.50%,36.40%,8.70%,,,96.10%,24.50%,
84K777,Ocean Hill Collegiate Charter School,High School,310,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,N/A,93%,92%,84%,90%,87%,92%,N/A,N/A,N/A,N/A,N/A,,3,3.67,0.00%,2.60%,0.00%,68.20%,5.10%,43.60%,0.00%,97.40%,2.60%,0.00%,,,96.80%,2.60%,
84K780,Brooklyn East Collegiate Charter School,High School,339,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,N/A,89%,92%,83%,87%,86%,93%,N/A,N/A,N/A,N/A,N/A,,2.97,3.17,0.00%,0.00%,0.00%,62.70%,5.10%,43.60%,0.00%,87.20%,12.80%,0.00%,,,96.90%,0.00%,
84M279,The Opportunity Charter School,High School,473,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,79%,69%,79%,70%,77%,82%,N/A,N/A,N/A,N/A,N/A,,2.04,1.99,9.50%,51.40%,17.40%,75.80%,6.70%,56.90%,0.80%,67.20%,30.80%,0.80%,,,88.90%,35.90%,
84M284,Harlem Children's Zone Promise Academy 1 Charter S,High School,1035,Approaching Target,Approaching Target,Exceeding Target,Approaching Target,Approaching Target,Meeting Target,N/A,85%,80%,87%,78%,82%,89%,N/A,N/A,N/A,N/A,N/A,,2.51,2.55,2.30%,11.30%,0.50%,76.80%,6.10%,58.20%,0.00%,87.80%,9.90%,0.50%,,,94.90%,11.20%,
84M335,Harlem Village Academy Leadership Charter School,High School,800,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,N/A,86%,86%,80%,81%,81%,90%,N/A,N/A,N/A,N/A,N/A,,2.88,2.85,0.00%,11.80%,0.00%,72.20%,4.40%,39.40%,1.00%,74.40%,24.60%,0.00%,,,86.80%,20.50%,
84M336,KIPP Infinity Charter School,High School,1082,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,N/A,93%,95%,88%,94%,90%,95%,N/A,N/A,N/A,N/A,N/A,,2.76,2.87,2.70%,18.70%,0.90%,79.80%,2.70%,54.80%,0.50%,28.30%,70.30%,0.90%,,,93.70%,18.40%,
84M341,Harlem Children's Zone Promise Academy II Charter,High School,797,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,N/A,86%,85%,80%,80%,83%,88%,N/A,N/A,N/A,N/A,N/A,,2.59,2.68,0.00%,12.00%,1.30%,75.70%,6.70%,50.70%,0.00%,94.70%,4.00%,0.00%,,,93.70%,17.30%,
84M350,Democracy Prep Charter School,High School,737,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,91%,96%,86%,91%,82%,93%,N/A,N/A,N/A,N/A,N/A,,2.71,2.81,1.50%,9.90%,0.30%,71.40%,6.40%,47.30%,1.00%,69.70%,26.00%,0.80%,,,96.30%,7.70%,
84M353,New Heights Academy Charter School,High School,737,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,84%,89%,84%,78%,78%,89%,N/A,N/A,N/A,N/A,N/A,,2.29,2.36,8.40%,10.50%,0.00%,83.80%,5.10%,69.10%,0.00%,6.00%,94.00%,0.00%,,,93.30%,19.60%,
84M433,Renaissance Charter High School for Innovation,High School,444,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,73%,80%,82%,80%,73%,89%,N/A,N/A,N/A,N/A,N/A,,2.13,1.99,8.80%,34.70%,4.50%,82.50%,10.10%,68.20%,1.40%,38.70%,57.90%,0.90%,,,82.60%,54.60%,
84M481,Democracy Prep Harlem Charter School,High School,778,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,N/A,86%,89%,78%,83%,85%,89%,N/A,N/A,N/A,N/A,N/A,,2.58,2.73,1.40%,11.80%,0.50%,74.60%,7.60%,53.10%,0.00%,64.50%,33.20%,0.50%,,,94.60%,12.80%,
84M709,Harlem Village Academy Charter School,High School,821,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,N/A,80%,89%,80%,86%,83%,92%,N/A,N/A,N/A,N/A,N/A,,2.7,2.76,0.50%,16.60%,0.50%,70.80%,1.50%,38.50%,0.00%,80.00%,20.00%,0.00%,,,92.60%,22.60%,
84M726,KIPP STAR College Prep Charter School,High School,670,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,N/A,87%,90%,80%,90%,88%,92%,N/A,N/A,N/A,N/A,N/A,,2.52,2.49,0.40%,24.20%,0.90%,74.60%,1.80%,47.10%,0.90%,65.20%,30.80%,0.90%,,,95.30%,10.70%,
84Q705,Renaissance Charter School,High School,567,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,89%,88%,81%,81%,86%,87%,N/A,N/A,N/A,N/A,N/A,,2.59,2.58,4.20%,17.30%,0.00%,51.30%,10.30%,30.80%,18.70%,14.00%,56.50%,10.70%,,,94.80%,11.60%,
84R067,John W. Lavelle Preparatory Charter School,High School,443,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,N/A,88%,94%,81%,92%,78%,93%,N/A,N/A,N/A,N/A,N/A,,2.43,2.25,1.30%,38.50%,1.30%,54.40%,2.60%,41.00%,5.10%,43.60%,38.50%,11.50%,,,94.00%,9.00%,
84X185,Bronx Lighthouse Charter School,High School,680,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Not Meeting Target,Approaching Target,Exceeding Target,82%,86%,79%,85%,77%,86%,N/A,N/A,N/A,N/A,N/A,,2.48,2.35,4.20%,12.70%,0.90%,74.80%,4.20%,49.80%,0.50%,35.20%,63.80%,0.00%,,,95.70%,7.80%,
84X202,New Visions Charter High School for Advanced Math,High School,382,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82%,91%,83%,90%,78%,92%,N/A,N/A,N/A,N/A,N/A,,2.34,2.29,11.30%,15.70%,0.50%,76.60%,6.80%,61.00%,2.90%,45.30%,49.20%,0.50%,,,92.70%,28.00%,
84X208,New Visions Charter High School for the Humanities,High School,354,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73%,77%,83%,70%,73%,89%,N/A,N/A,N/A,N/A,N/A,,2.19,2.12,11.60%,23.40%,1.70%,80.00%,6.80%,65.50%,0.30%,36.20%,61.30%,0.60%,,,88.10%,40.30%,
84X345,Hyde Leadership Charter School,High School,974,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,82%,84%,84%,81%,88%,90%,N/A,N/A,N/A,N/A,N/A,,2.44,2.31,4.70%,15.60%,0.40%,77.90%,5.80%,61.50%,0.40%,33.10%,65.80%,0.40%,,,94.40%,13.70%,
84X347,International Leadership Charter High School,High School,304,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Exceeding Target,94%,86%,82%,79%,69%,84%,N/A,N/A,N/A,N/A,N/A,,2.46,2.38,8.20%,8.60%,0.00%,69.60%,3.00%,53.90%,0.30%,20.40%,74.70%,1.30%,,,90.60%,28.50%,
84X393,University Prep Charter High School,High School,376,Meeting Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Not Meeting Target,Exceeding Target,87%,65%,84%,43%,71%,70%,N/A,N/A,N/A,N/A,N/A,,2.41,2.38,12.00%,17.80%,0.80%,77.60%,7.40%,59.00%,1.30%,29.30%,69.40%,0.00%,,,94.30%,14.60%,
84X395,"NYC Charter High School for Architecture, Engineer",High School,432,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,76%,88%,81%,88%,73%,91%,N/A,N/A,N/A,N/A,N/A,,2.25,2.21,16.70%,18.30%,1.60%,77.80%,6.50%,61.10%,0.20%,36.80%,62.50%,0.20%,,,91.90%,22.60%,
84X482,Dr. Richard Izquierdo Health and Science Charter S,High School,516,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,N/A,85%,89%,83%,83%,81%,90%,N/A,N/A,N/A,N/A,N/A,,2.25,2.21,9.00%,15.00%,0.80%,83.20%,7.50%,60.90%,0.00%,35.30%,64.70%,0.00%,,,92.50%,26.80%,
84X488,The Equality Charter School,High School,358,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,N/A,80%,83%,81%,83%,75%,89%,N/A,N/A,N/A,N/A,N/A,,2.33,2.66,2.30%,27.30%,0.00%,56.70%,5.70%,46.60%,0.00%,76.10%,21.60%,0.00%,,,95.20%,14.10%,
84X539,New Visions Charter High School for Advanced Math,High School,452,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,86%,90%,81%,90%,70%,91%,N/A,N/A,N/A,N/A,N/A,,2.42,2.36,4.90%,14.80%,1.10%,71.80%,9.50%,53.80%,2.40%,43.40%,48.50%,1.10%,,,90.10%,40.60%,
84X553,New Visions Charter High School for the Humanities,High School,424,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,71%,87%,77%,86%,83%,91%,N/A,N/A,N/A,N/A,N/A,,2.24,2.12,11.30%,23.10%,5.00%,74.70%,7.30%,57.10%,0.90%,40.60%,55.90%,0.90%,,,88.50%,39.70%,
84X703,Bronx Preparatory Charter School,High School,756,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,78%,76%,78%,71%,78%,83%,N/A,N/A,N/A,N/A,N/A,,2.4,2.44,4.00%,11.00%,0.30%,75.80%,2.00%,53.50%,1.00%,45.20%,52.20%,0.30%,,,92.20%,20.60%,
