DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How well do teachers work with each other?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing - 4yr,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
27Q309,Academy of Medical Technology: A College Board Sch,High School,637,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,79%,85%,84%,78%,73%,88%,Proficient,Proficient,Proficient,Well Developed,Well Developed,1-Apr-15,2.32,2.12,8.50%,16.80%,0.50%,66.70%,5.40%,48.40%,6.60%,50.10%,37.70%,2.70%,7,57.40%,83.70%,46.00%,96.70%
27Q314,Epic High School - South,High School,87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91%,96%,85%,85%,72%,92%,Developing,Developing,Developing,Developing,Developing,25-Feb-15,2.45,2.21,3.40%,8.00%,1.10%,55.40%,9.20%,41.40%,26.40%,32.20%,26.40%,6.90%,1,83.30%,88.40%,41.50%,96.10%
27Q323,Scholars' Academy,High School,1302,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,93%,96%,92%,93%,79%,95%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,7-Jan-15,3.64,3.42,0.00%,1.20%,0.00%,40.30%,11.20%,19.60%,21.40%,22.70%,19.60%,34.70%,10,68.90%,95.30%,13.10%,96.60%
27Q324,Rockaway Park High School for Environmental Sustai,High School,368,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,83%,87%,79%,84%,77%,90%,Well Developed,Proficient,Proficient,Well Developed,Proficient,29-Apr-15,2.27,2.06,5.20%,19.80%,1.40%,68.20%,8.40%,54.10%,3.50%,46.70%,30.20%,14.70%,4.4,59.30%,78.20%,60.10%,95.30%
27Q334,Epic High School - North,High School,93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94%,99%,83%,95%,74%,93%,Proficient,Proficient,Proficient,Well Developed,Well Developed,6-May-15,2.52,2.47,5.40%,6.50%,3.20%,55.60%,4.30%,43.00%,19.40%,21.50%,37.60%,5.40%,1,50.00%,92.40%,18.70%,99.00%
27Q351,Rockaway Collegiate High School,High School,397,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,77%,78%,77%,73%,72%,81%,Proficient,Proficient,Proficient,Proficient,Proficient,"February 11-12, 2014",2.28,2.06,5.50%,21.40%,1.00%,68.80%,7.80%,52.60%,5.00%,52.60%,33.50%,3.80%,1,53.60%,80.80%,49.10%,94.70%
27Q400,August Martin High School,High School,679,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Not Meeting Target,86%,80%,75%,73%,69%,79%,Developing,Developing,Developing,Developing,Proficient,5-May-15,2.19,2.03,6.80%,21.40%,1.00%,58.10%,11.30%,43.30%,7.50%,75.40%,13.00%,1.50%,3.2,86.00%,78.90%,59.30%,93.60%
27Q475,Richmond Hill High School,High School,2175,Approaching Target,Approaching Target,Meeting Target,Not Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,86%,75%,79%,62%,66%,80%,Proficient,Developing,Developing,Proficient,Proficient,19-May-15,2.29,2.18,21.30%,16.00%,6.20%,59.60%,6.10%,45.50%,31.40%,13.60%,48.20%,5.40%,1.8,87.90%,85.30%,41.90%,95.60%
27Q480,John Adams High School,High School,2634,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,84%,80%,76%,75%,68%,83%,Proficient,Developing,Developing,Proficient,Proficient,3-Feb-15,2.28,2.18,19.40%,15.60%,4.70%,59.10%,12.90%,42.20%,31.00%,23.90%,37.90%,2.90%,3,80.10%,82.50%,46.90%,94.80%
27Q650,"High School for Construction Trades, Engineering a",High School,959,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,82%,91%,88%,83%,76%,91%,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,13-Mar-15,2.84,2.86,0.40%,11.20%,0.10%,46.10%,1.40%,33.30%,35.50%,10.70%,35.60%,12.30%,5.3,79.30%,94.30%,15.10%,96.50%
