,ID,School Name,Total Grads % of cohort
3772,03M403_2015,THE GLOBAL LEARNING COLLABORATIVE,74.4
3801,03M404_2015,INNOVATION DIPLOMA PLUS,3.2
3841,03M415_2015,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VIS,56.6
3889,03M417_2015,FRANK MCCOURT HIGH SCHOOL,90.2
3940,03M479_2015,BEACON HIGH SCHOOL,99.3
3992,03M485_2015,FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC & ART AN,97.4
4054,03M492_2015,HIGH SCHOOL FOR LAW ADVOCACY AND COMMUNITY JUSTICE,69.6
4103,03M494_2015,HIGH SCHOOL OF ARTS AND TECHNOLOGY,63.6
4155,03M505_2015,EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL,16.2
4207,03M541_2015,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,99.1
4255,03M860_2015,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,50.7
4300,04M372_2015,ESPERANZA PREPARATORY ACADEMY,
4322,04M409_2015,COALITION SCHOOL FOR SOCIAL CHANGE,32.5
4373,04M435_2015,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,91.4
4426,04M495_2015,PARK EAST HIGH SCHOOL,95.8
4478,04M555_2015,CENTRAL PARK EAST HIGH SCHOOL,96.9
4530,04M610_2015,YOUNG WOMEN'S LEADERSHIP SCHOOL,98.6
4624,04M680_2015,HERITAGE SCHOOL THE,59.3
4708,05M285_2015,HARLEM RENAISSANCE HIGH SCHOOL,22.9
4761,05M304_2015,MOTT HALL HIGH SCHOOL,66.7
4805,05M362_2015,COLUMBIA SECONDARY SCHOOL,98.8
4823,05M367_2015,ACADEMY FOR SOCIAL ACTION,58.3
4856,05M369_2015,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,77.3
4894,05M469_2015,CHOIR ACADEMY OF HARLEM,38.5
4946,05M499_2015,FREDERICK DOUGLASS ACADEMY,63.7
4998,05M670_2015,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL,77.6
5049,05M685_2015,BREAD & ROSES INTEGRATED ARTS HS,34.9
5101,05M692_2015,HIGH SCHOOL FOR MATHEMATICS SCIENCE AND ENGINEERIN,97.9
5148,06M293_2015,CITY COLLEGE ACADEMY OF THE ARTS,94.2
5179,06M346_2015,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,53.3
5209,06M348_2015,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,64.9
