,ID,School Name,Total Grads % of cohort
16040,20K485_2015,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLO,85.7
16092,20K490_2015,FORT HAMILTON HIGH SCHOOL,70.9
16144,20K505_2015,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,56.8
16194,20K609_2015,URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,88.1
16222,21K337_2015,INTERNATIONAL HS AT LAFAYETTE,74.7
16262,21K344_2015,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,80.7
16308,21K348_2015,HIGH SCHOOL OF SPORTS MANAGEMENT,68.5
16372,21K410_2015,ABRAHAM LINCOLN HIGH SCHOOL,58.9
16420,21K468_2015,KINGSBOROUGH EARLY COLLEGE SCHOOL,93.7
16445,21K525_2015,EDWARD R MURROW HIGH SCHOOL,79.1
16497,21K540_2015,JOHN DEWEY HIGH SCHOOL,63.6
16548,21K559_2015,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,93.0
16586,21K572_2015,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADER,79.1
16629,21K620_2015,WILLIAM E GRADY CAREER AND TECHNICAL EDUCATION HIG,57.1
16681,21K690_2015,BROOKLYN STUDIO SECONDARY SCHOOL,71.5
16733,21K728_2015,LIBERATION DIPLOMA PLUS,12.2
16781,22K405_2015,MIDWOOD HIGH SCHOOL,89.6
16833,22K425_2015,JAMES MADISON HIGH SCHOOL,77.0
16883,22K495_2015,SHEEPSHEAD BAY HS,50.4
16935,22K535_2015,LEON M GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,94.4
16986,22K555_2015,BROOKLYN COLLEGE ACADEMY,97.4
17056,22K630_2015,PROFESSIONAL PATHWAYS HIGH SCHOOL,20.4
17080,23K493_2015,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,56.3
17129,23K514_2015,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55.0
17156,23K643_2015,BROOKLYN DEMOCRACY ACADEMY,13.8
17215,23K644_2015,EAGLE ACADEMY FOR YOUNG MEN II,91.4
17258,23K646_2015,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,14.6
17301,23K647_2015,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,20.8
17344,23K697_2015,TEACHERS PREPARATORY HIGH SCHOOL,61.4
17399,24Q264_2015,ACADEMY OF FINANCE AND ENTERPRISE,92.7
17442,24Q267_2015,HIGH SCHOOL OF APPLIED COMMUNICATION,82.2
17480,24Q293_2015,CIVIC LEADERSHIP ACADEMY,86.0
17508,24Q296_2015,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,66.7
17545,24Q299_2015,BARD HIGH SCHOOL EARLY COLLEGE QUEENS,96.5
17586,24Q455_2015,NEWTOWN HIGH SCHOOL,56.7
17637,24Q485_2015,GROVER CLEVELAND HIGH SCHOOL,60.8
17690,24Q520_2015,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY,66.4
17742,24Q530_2015,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY C,80.8
17794,24Q550_2015,HIGH SCHOOL FOR ARTS AND BUSINESS,90.4
17846,24Q560_2015,ROBERT F WAGNER JR SECONDARY SCHOOL FOR ARTS AND T,81.8
17892,24Q585_2015,MASPETH HIGH SCHOOL,97.0
17910,24Q600_2015,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,74.2
17964,24Q610_2015,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,85.4
18016,24Q744_2015,VOYAGES PREPARATORY,13.0
18061,25Q252_2015,QUEENS SCHOOL OF INQUIRY THE,92.6
18090,25Q263_2015,FLUSHING INTERNATIONAL HIGH SCHOOL,66.7
18133,25Q281_2015,EASTWEST SCHOOL OF INTERNATIONAL STUDIES,88.5
18173,25Q285_2015,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHO,91.4
18213,25Q425_2015,JOHN BOWNE HIGH SCHOOL,67.8
18265,25Q460_2015,FLUSHING HIGH SCHOOL,55.9
18317,25Q525_2015,TOWNSEND HARRIS HIGH SCHOOL,100.0
18366,25Q540_2015,QUEENS ACADEMY HIGH SCHOOL,10.8
18418,25Q670_2015,ROBERT F KENNEDY COMMUNITY HIGH SCHOOL,84.8
18470,25Q792_2015,NORTH QUEENS COMMUNITY HIGH SCHOOL,13.4
18520,26Q415_2015,BENJAMIN N CARDOZO HIGH SCHOOL,88.5
18572,26Q430_2015,FRANCIS LEWIS HIGH SCHOOL,80.4
18624,26Q435_2015,MARTIN VAN BUREN HIGH SCHOOL,52.9
18677,26Q495_2015,BAYSIDE HIGH SCHOOL,89.4
18730,26Q566_2015,QUEENS HIGH SCHOOL OF TEACHING LIBERAL ARTS AND TH,89.8
18779,27Q260_2015,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,39.8
18820,27Q261_2015,VOYAGES PREP  SOUTH QUEENS,13.0
18845,27Q262_2015,CHANNEL VIEW SCHOOL FOR RESEARCH,79.3
18887,27Q302_2015,QUEENS HIGH SCHOOL FOR INFORMATION RESEARCH AND TE,50.6
18921,27Q308_2015,ROBERT H GODDARD HIGH SCHOOL OF COMMUNICATION ARTS,91.2
18947,27Q309_2015,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCH,62.1
18974,27Q323_2015,SCHOLARS' ACADEMY,99.2
19001,27Q324_2015,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAI,52.8
19027,27Q351_2015,ROCKAWAY COLLEGIATE HIGH SCHOOL,49.0
19049,27Q400_2015,AUGUST MARTIN HIGH SCHOOL,24.1
19169,27Q475_2015,RICHMOND HILL HIGH SCHOOL,51.9
19221,27Q480_2015,JOHN ADAMS HIGH SCHOOL,59.1
19272,27Q650_2015,HIGH SCHOOL FOR CONSTRUCTION TRADES ENGINEERING AN,94.4
19311,28Q284_2015,YORK EARLY COLLEGE ACADEMY,92.9
19334,28Q310_2015,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,72.8
19365,28Q325_2015,HILLSIDE ARTS & LETTERS ACADEMY,76.0
19383,28Q328_2015,HIGH SCHOOL FOR COMMUNITY LEADERSHIP,79.3
19407,28Q338_2015,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,2.3
19442,28Q350_2015,JAMAICA GATEWAY TO THE SCIENCES,89.3
19471,28Q440_2015,FOREST HILLS HIGH SCHOOL,85.0
19563,28Q505_2015,HILLCREST HIGH SCHOOL,68.5
19615,28Q620_2015,THOMAS A EDISON CAREER AND TECHNICAL EDUCATION HIG,85.8
19667,28Q680_2015,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,95.5
19716,28Q686_2015,QUEENS METROPOLITAN HIGH SCHOOL,91.0
19746,28Q687_2015,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEG,97.9
19794,28Q690_2015,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,74.1
19842,28Q896_2015,YOUNG WOMEN'S LEADERSHIP SCHOOL QUEENS,86.3
19882,29Q248_2015,QUEENS PREPARATORY ACADEMY,75.4
19927,29Q259_2015,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOA,70.1
19970,29Q265_2015,EXCELSIOR PREPARATORY HIGH SCHOOL,69.8
20016,29Q272_2015,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIEN,69.3
20068,29Q283_2015,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD S,74.1
20109,29Q326_2015,CAMBRIA HEIGHTS ACADEMY,71.6
20157,29Q492_2015,MATHEMATICS SCIENCE RESEARCH AND TECHNOLOGY MAGNET,64.4
20207,29Q494_2015,LAW GOVERNMENT AND COMMUNITY SERVICE HS,63.9
20257,29Q496_2015,BUSINESS COMPUTER APPLICATIONS & ENTREPRENEURSHIP,53.1
20309,29Q498_2015,HUMANITIES & ARTS MAGNET HIGH SCHOOL,70.7
20359,30Q286_2015,YOUNG WOMEN'S LEADERSHIP SCHOOL ASTORIA,95.9
20381,30Q301_2015,ACADEMY FOR CAREERS IN TELEVISION AND FILM,98.0
20410,30Q445_2015,WILLIAM CULLEN BRYANT HIGH SCHOOL,67.4
20462,30Q450_2015,LONG ISLAND CITY HIGH SCHOOL,62.0
20514,30Q501_2015,FRANK SINATRA SCHOOL OF THE ARTS HS,94.8
20566,30Q502_2015,INFORMATION TECHNOLOGY HIGH SCHOOL,73.3
20618,30Q555_2015,NEWCOMERS HIGH SCHOOL,71.2
20670,30Q575_2015,ACADEMY OF AMERICAN STUDIES,88.1
20722,30Q580_2015,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,100.0
20771,31R047_2015,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,95.8
20809,31R064_2015,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,80.2
20839,31R080_2015,THE MICHAEL J PETRIDES SCHOOL,81.7
20891,31R440_2015,NEW DORP HIGH SCHOOL,76.1
20943,31R445_2015,PORT RICHMOND HIGH SCHOOL,61.0
20995,31R450_2015,CURTIS HIGH SCHOOL,75.6
21047,31R455_2015,TOTTENVILLE HIGH SCHOOL,86.4
21099,31R460_2015,SUSAN E WAGNER HIGH SCHOOL,76.5
21150,31R470_2015,CONCORD HIGH SCHOOL,21.7
21202,31R600_2015,RALPH R MCKEE CAREER AND TECHNICAL EDUCATION HIGH,59.4
21254,31R605_2015,STATEN ISLAND TECHNICAL HIGH SCHOOL,99.0
21301,32K168_2015,THE BROOKLYN SCHOOL FOR MATH AND RESEARCH,73.5
21325,32K403_2015,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,68.8
21377,32K545_2015,EBC HIGH SCHOOL FOR PUBLIC SERVICE  BUSHWICK,60.5
21429,32K549_2015,THE BROOKLYN SCHOOL FOR SOCIAL JUSTICE,64.0
21478,32K552_2015,THE ACADEMY OF URBAN PLANNING AND ENGINEERING,55.6
21532,32K554_2015,ALL CITY LEADERSHIP SECONDARY SCHOOL,85.0
21579,32K556_2015,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLEN,61.1
21628,32K564_2015,BUSHWICK COMMUNITY HIGH SCHOOL,9.2
10,01M292_2016,ORCHARD COLLEGIATE ACADEMY,52.3
57,01M448_2016,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,75.8
109,01M450_2016,EAST SIDE COMMUNITY SCHOOL,80.0
159,01M458_2016,FORSYTH SATELLITE ACADEMY,14.6
196,01M509_2016,MARTA VALLE HIGH SCHOOL,58.1
248,01M515_2016,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,33.9
300,01M539_2016,NEW EXPLORATIONS INTO SCIENCE TECHNOLOGY AND MATH,99.5
353,01M650_2016,CASCADES HIGH SCHOOL,28.6
405,01M696_2016,BARD HIGH SCHOOL EARLY COLLEGE,96.9
457,02M047_2016,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,82.8
507,02M139_2016,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIG,
522,02M288_2016,FOOD AND FINANCE HIGH SCHOOL,88.3
575,02M294_2016,ESSEX STREET ACADEMY,79.5
623,02M296_2016,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,74.0
671,02M298_2016,PACE HIGH SCHOOL,89.0
720,02M300_2016,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION T,66.7
770,02M303_2016,FACING HISTORY SCHOOL THE,68.9
813,02M305_2016,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW THE,83.1
856,02M308_2016,LOWER MANHATTAN ARTS ACADEMY,71.8
900,02M313_2016,JAMES BALDWIN SCHOOL THE: A SCHOOL FOR EXPEDITIONA,29.7
950,02M316_2016,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,63.3
996,02M374_2016,GRAMERCY ARTS HIGH SCHOOL,70.5
1035,02M376_2016,NYC ISCHOOL,96.3
1059,02M392_2016,MANHATTAN BUSINESS ACADEMY,87.5
1084,02M393_2016,BUSINESS OF SPORTS SCHOOL,65.9
1111,02M394_2016,EMMA LAZARUS HIGH SCHOOL,69.5
1148,02M399_2016,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,81.3
1177,02M400_2016,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,76.4
1229,02M407_2016,INSTITUTE FOR COLLABORATIVE EDUCATION,87.5
1280,02M408_2016,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,91.2
1333,02M411_2016,BARUCH COLLEGE CAMPUS HIGH SCHOOL,99.1
1385,02M412_2016,NYC LAB SCHOOL FOR COLLABORATIVE STUDIES,97.7
1437,02M413_2016,SCHOOL OF THE FUTURE HIGH SCHOOL,86.7
1489,02M414_2016,NYC MUSEUM SCHOOL,98.3
1541,02M416_2016,ELEANOR ROOSEVELT HIGH SCHOOL,100.0
1594,02M418_2016,MILLENNIUM HIGH SCHOOL,98.2
1642,02M419_2016,LANDMARK HIGH SCHOOL,60.9
1694,02M420_2016,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVI,86.3
1741,02M422_2016,QUEST TO LEARN,74.4
1758,02M425_2016,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,67.9
1806,02M427_2016,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,60.0
1876,02M432_2016,MURRAY HILL ACADEMY,67.1
1896,02M437_2016,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,80.6
1918,02M438_2016,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,68.9
1947,02M439_2016,MANHATTAN VILLAGE ACADEMY,98.9
2046,02M449_2016,VANGUARD HIGH SCHOOL,64.4
2098,02M459_2016,MANHATTAN INTERNATIONAL HIGH SCHOOL,75.6
2197,02M475_2016,STUYVESANT HIGH SCHOOL,97.3
2249,02M489_2016,HIGH SCHOOL OF ECONOMICS AND FINANCE,77.1
2301,02M500_2016,UNITY CENTER FOR URBAN TECHNOLOGIES,84.4
2348,02M507_2016,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,89.2
2373,02M519_2016,TALENT UNLIMITED HIGH SCHOOL,95.3
2425,02M520_2016,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,51.4
2477,02M529_2016,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,62.0
2529,02M531_2016,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,96.4
2576,02M533_2016,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,87.5
2588,02M534_2016,HARVEST COLLEGIATE HIGH SCHOOL,88.1
2619,02M542_2016,MANHATTAN BRIDGES HIGH SCHOOL,93.3
2668,02M543_2016,NEW DESIGN HIGH SCHOOL,77.9
2720,02M544_2016,INDEPENDENCE HIGH SCHOOL,11.2
2773,02M545_2016,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,98.2
2812,02M546_2016,ACADEMY FOR SOFTWARE ENGINEERING,94.2
2825,02M550_2016,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,43.4
2877,02M551_2016,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,78.8
2926,02M560_2016,HIGH SCHOOL M560  CITY AS SCHOOL,37.0
2978,02M565_2016,URBAN ACADEMY LABORATORY HIGH SCHOOL,44.8
3029,02M570_2016,SATELLITE ACADEMY HIGH SCHOOL,9.5
3081,02M575_2016,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,17.8
3133,02M580_2016,RICHARD R GREEN HIGH SCHOOL OF TEACHING,66.7
3185,02M586_2016,HARVEY MILK HIGH SCHOOL,20.0
3237,02M600_2016,THE HIGH SCHOOL OF FASHION INDUSTRIES,89.7
3289,02M605_2016,HUMANITIES PREPARATORY ACADEMY,74.5
3342,02M615_2016,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,70.2
3440,02M625_2016,HS OF GRAPHIC COMMUNICATION ARTS,57.9
3491,02M630_2016,ART AND DESIGN HIGH SCHOOL,76.6
3543,02M655_2016,LIFE SCIENCES SECONDARY SCHOOL,62.0
3662,03M299_2016,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,64.4
3705,03M307_2016,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES THE,70.2
3748,03M402_2016,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,56.8
3771,03M403_2016,THE GLOBAL LEARNING COLLABORATIVE,79.0
3800,03M404_2016,INNOVATION DIPLOMA PLUS,13.0
3840,03M415_2016,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VIS,67.0
3888,03M417_2016,FRANK MCCOURT HIGH SCHOOL,89.6
3939,03M479_2016,BEACON HIGH SCHOOL,98.3
3991,03M485_2016,FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC & ART AN,97.0
4053,03M492_2016,HIGH SCHOOL FOR LAW ADVOCACY AND COMMUNITY JUSTICE,78.3
4102,03M494_2016,HIGH SCHOOL OF ARTS AND TECHNOLOGY,62.0
4154,03M505_2016,EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL,14.5
4206,03M541_2016,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,99.0
4254,03M860_2016,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,53.4
4299,04M372_2016,ESPERANZA PREPARATORY ACADEMY,67.1
4321,04M409_2016,COALITION SCHOOL FOR SOCIAL CHANGE,46.7
4372,04M435_2016,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,93.4
4425,04M495_2016,PARK EAST HIGH SCHOOL,74.2
4477,04M555_2016,CENTRAL PARK EAST HIGH SCHOOL,93.3
4529,04M610_2016,YOUNG WOMEN'S LEADERSHIP SCHOOL,100.0
4623,04M680_2016,HERITAGE SCHOOL THE,70.2
4690,05M157_2016,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,
4707,05M285_2016,HARLEM RENAISSANCE HIGH SCHOOL,10.5
4760,05M304_2016,MOTT HALL HIGH SCHOOL,71.6
4804,05M362_2016,COLUMBIA SECONDARY SCHOOL,97.6
4822,05M367_2016,ACADEMY FOR SOCIAL ACTION,39.3
4855,05M369_2016,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,75.0
4893,05M469_2016,CHOIR ACADEMY OF HARLEM,77.4
4945,05M499_2016,FREDERICK DOUGLASS ACADEMY,71.2
4997,05M670_2016,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL,74.4
5048,05M685_2016,BREAD & ROSES INTEGRATED ARTS HS,39.4
5100,05M692_2016,HIGH SCHOOL FOR MATHEMATICS SCIENCE AND ENGINEERIN,97.8
5147,06M293_2016,CITY COLLEGE ACADEMY OF THE ARTS,96.6
5178,06M346_2016,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,71.4
5208,06M348_2016,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,68.2
5236,06M423_2016,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,36.1
5266,06M462_2016,THE COLLEGE ACADEMY,53.5
5318,06M463_2016,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,48.6
5371,06M467_2016,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,63.1
5423,06M468_2016,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,64.4
5475,06M540_2016,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,70.9
5527,06M552_2016,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHE,63.7
5580,07X221_2016,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,92.4
5623,07X223_2016,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X,
5633,07X259_2016,HERO HIGH HEALTH EDUCATION AND RESEARCH OCCUPATION,
5647,07X334_2016,INTERNATIONAL COMMUNITY HIGH SCHOOL,64.8
5682,07X379_2016,JILL CHAIFETZ TRANSFER HIGH SCHOOL,12.9
5730,07X381_2016,BRONX HAVEN HS,12.0
5774,07X427_2016,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,69.6
5831,07X473_2016,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,57.6
5883,07X495_2016,UNIVERSITY HEIGHTS SECONDARY SCHOOL,95.0
5935,07X500_2016,HOSTOSLINCOLN ACADEMY OF SCIENCE,80.7
5989,07X520_2016,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,55.9
6037,07X522_2016,BRONX DESIGN AND CONSTRUCTION ACADEMY,57.7
6062,07X527_2016,BRONX LEADERSHIP ACADEMY II HS,76.6
6110,07X547_2016,NEW EXPLORERS HIGH SCHOOL,46.2
6163,07X548_2016,CAREERS IN SPORTS HIGH SCHOOL,68.4
6215,07X551_2016,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,53.3
6260,07X557_2016,MOTT HAVEN COMMUNITY HIGH SCHOOL,13.6
6289,07X600_2016,ALFRED E SMITH CAREER AND TECHNICAL EDUCATION HIGH,68.1
6388,07X670_2016,HEALTH OPPORTUNITIES HIGH SCHOOL,62.1
6438,08X269_2016,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,58.9
6466,08X282_2016,WOMEN'S ACADEMY OF EXCELLENCE,57.1
6498,08X305_2016,PABLO NERUDA ACADEMY,52.7
6509,08X293_2016,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECH,72.2
6658,08X312_2016,MILLENNIUM ART ACADEMY,66.4
6700,08X320_2016,PELHAM LAB HIGH SCHOOL,
6717,08X332_2016,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,55.4
6752,08X348_2016,SCHUYLERVILLE PREPARATORY HIGH SCHOOL,
6759,08X349_2016,BRONX RIVER HIGH SCHOOL,
6768,08X367_2016,ARCHIMEDES ACADEMY FOR MATH SCIENCE AND TECHNOLOGY,51.6
6792,08X376_2016,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOA,58.0
6796,08X377_2016,BRONX COMMUNITY HIGH SCHOOL,11.3
6865,08X405_2016,HERBERT H LEHMAN HIGH SCHOOL,45.1
6912,08X432_2016,BRONX BRIDGES HIGH SCHOOL,46.3
6954,08X452_2016,GOTHAM COLLABORATIVE HIGH SCHOOL,67.1
7006,08X519_2016,FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUB,44.8
7055,08X530_2016,LONGWOOD PREPARATORY ACADEMY,44.6
7104,08X537_2016,BRONX ARENA HIGH SCHOOL,12.2
7171,08X558_2016,WESTCHESTER SQUARE ACADEMY,72.4
7182,08X559_2016,SCHOOL FOR TOURISM AND HOSPITALITY,71.6
7240,08X561_2016,BRONX COMPASS HIGH SCHOOL,64.3
7326,09X227_2016,BRONX COLLEGIATE ACADEMY,46.0
7376,09X231_2016,EAGLE ACADEMY FOR YOUNG MEN,77.5
7458,09X241_2016,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE,80.3
7491,09X250_2016,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOA,80.9
7537,09X252_2016,MOTT HALL BRONX HIGH SCHOOL,74.3
7580,09X260_2016,BRONX CENTER FOR SCIENCE AND MATHEMATICS,86.9
7623,09X263_2016,VALIDUS PREPARATORY ACADEMY,60.8
7666,09X276_2016,LEADERSHIP INSTITUTE,52.2
7710,09X297_2016,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,63.0
7758,09X324_2016,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNIN,92.6
7777,09X327_2016,COMPREHENSIVE MODEL SCHOOL PROJECT MS 327,82.0
7795,09X329_2016,DREAMYARD PREPARATORY SCHOOL,56.5
7832,09X350_2016,NEW DIRECTIONS SECONDARY SCHOOL,
7843,09X365_2016,ACADEMY FOR LANGUAGE AND TECHNOLOGY,93.2
7876,09X403_2016,BRONX INTERNATIONAL HIGH SCHOOL,72.3
7928,09X404_2016,SCHOOL FOR EXCELLENCE,54.3
7980,09X412_2016,BRONX HIGH SCHOOL OF BUSINESS,46.9
8032,09X413_2016,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,93.6
8079,09X414_2016,JONATHAN LEVIN HS FOR MEDIA AND COMMUNICATIONS,39.5
8131,09X505_2016,BRONX SCHOOL FOR LAW GOVERNMENT AND JUSTICE,76.7
8183,09X517_2016,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,53.3
8230,09X525_2016,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,59.8
8282,09X543_2016,HIGH SCHOOL FOR VIOLIN AND DANCE,62.3
8325,09X564_2016,CLAREMONT INTERNATIONAL HS,65.7
8343,10X141_2016,RIVERDALE / KINGSBRIDGE ACADEMY MIDDLE SCHOOL / HI,85.8
8394,10X213_2016,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,74.4
8440,10X225_2016,THEATRE ARTS PRODUCTION COMPANY SCHOOL,75.6
8480,10X237_2016,THE MARIE CURIE SCHOOL FOR MEDICINE NURSING AND HE,71.5
8524,10X243_2016,WEST BRONX ACADEMY FOR THE FUTURE,86.8
8582,10X268_2016,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,42.3
8624,10X284_2016,BRONX SCHOOL OF LAW AND FINANCE,66.3
8676,10X319_2016,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH,8.8
8728,10X342_2016,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,67.0
8766,10X351_2016,BRONX COLLABORATIVE HIGH SCHOOL,0.0
8790,10X368_2016,INTECH ACADEMY MS / HIGH SCHOOL 368,81.3
8836,10X374_2016,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIO,90.6
8875,10X397_2016,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPOR,28.2
8938,10X433_2016,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,64.3
8990,10X434_2016,BELMONT PREPARATORY HIGH SCHOOL,80.6
9054,10X437_2016,FORDHAM HIGH SCHOOL FOR THE ARTS,97.3
9103,10X438_2016,FORDHAM LEADERSHIP ACADEMY,59.5
9154,10X439_2016,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,77.7
9206,10X440_2016,DEWITT CLINTON HIGH SCHOOL,42.7
9258,10X442_2016,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC THE,87.0
9304,10X445_2016,BRONX HIGH SCHOOL OF SCIENCE,99.6
9392,10X477_2016,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,89.4
9439,10X524_2016,CROTONA INTERNATIONAL HIGH SCHOOL,35.0
9461,10X546_2016,BRONX THEATRE HIGH SCHOOL,70.1
9510,10X549_2016,DISCOVERY HIGH SCHOOL,73.6
9553,10X565_2016,HIGH SCHOOL FOR ENERGY AND TECHNOLOGY,81.7
9615,10X696_2016,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,100.0
9664,11X249_2016,BRONX HEALTH SCIENCES HIGH SCHOOL,90.2
9707,11X253_2016,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION AR,67.9
9756,11X265_2016,BRONX LAB SCHOOL,59.0
9803,11X270_2016,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP,62.0
9846,11X275_2016,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,75.7
9898,11X288_2016,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,82.9
9947,11X290_2016,BRONX ACADEMY OF HEALTH CAREERS,73.9
